word,pos,pronunciation,meaning_cn,difficulty,tags,examples
abandon,v,/əˈbændən/,放弃，抛弃,4,高频|六级|雅思,They had to abandon the project due to lack of funds.
ability,n,/əˈbɪləti/,能力，才能,3,高频|四级,She has the ability to learn languages quickly.
abroad,adv,/əˈbrɔːd/,在国外，到国外,3,高频|四级|旅行,He went abroad to study when he was eighteen.
absent,adj,/ˈæbsənt/,缺席的，不在的,3,高频|四级,Three students were absent from class today.
absolute,adj,/ˈæbsəluːt/,绝对的，完全的,4,高频|六级|雅思,There is no absolute truth in this matter.
absorb,v,/əbˈzɔːrb/,吸收，吸引,4,高频|六级,Plants absorb carbon dioxide from the air.
abstract,adj,/ˈæbstrækt/,抽象的,5,六级|托福,Beauty is an abstract concept.
academic,adj,/ˌækəˈdemɪk/,学术的,3,高频|四级,He published an academic paper on linguistics.
accept,v,/əkˈsept/,接受，承认,2,高频|四级,Please accept my apology.
access,n,/ˈækses/,通道，使用权,4,高频|六级,Students have access to the library online.
accident,n,/ˈæksɪdənt/,事故，意外,2,高频|四级,He was injured in a car accident.
accommodation,n,/əˌkɒməˈdeɪʃn/,住宿，膳宿,4,高频|六级|旅行,The hotel offers accommodation for up to 200 guests.
accompany,v,/əˈkʌmpəni/,陪伴，伴随,4,高频|六级,Children must be accompanied by an adult.
accomplish,v,/əˈkʌmplɪʃ/,完成，实现,4,高频|六级|雅思,She accomplished her goal of running a marathon.
account,n,/əˈkaʊnt/,账户，描述,3,高频|四级|商务,Please open a bank account.
accurate,adj,/ˈækjərət/,精确的，准确的,3,高频|四级|六级,The report is accurate and detailed.
achieve,v,/əˈtʃiːv/,实现，达到,3,高频|四级|雅思,He achieved great success in his career.
acknowledge,v,/əkˈnɒlɪdʒ/,承认，致谢,5,高频|六级|雅思,She acknowledged her mistake in public.
acquire,v,/əˈkwaɪər/,获得，习得,4,高频|六级|雅思,He acquired fluency in three languages.
active,adj,/ˈæktɪv/,积极的，活跃的,2,高频|四级,She is an active member of the club.
actually,adv,/ˈæktʃuəli/,实际上，事实上、实际上，事实上,2,高频,Actually  I changed my mind.
adapt,v,/əˈdæpt/,适应，改编,4,高频|六级|雅思,Children adapt quickly to new environments.
adequate,adj,/ˈædɪkwət/,足够的，充分的,4,高频|六级,His salary is adequate for a comfortable life.
adjust,v,/əˈdʒʌst/,调整，适应,3,高频|四级|六级,It takes time to adjust to a new job.
admire,v,/ədˈmaɪər/,钦佩，欣赏,3,高频|四级,I admire her courage and determination.
admit,v,/ədˈmɪt/,承认，接纳,3,高频|四级|六级,He admitted that he was wrong.
adopt,v,/əˈdɒpt/,采纳，收养,4,高频|六级,The company adopted a new policy.
advance,v/n,/ədˈvɑːns/,前进，进步,4,高频|六级|雅思,Science advances human civilization.
advantage,n,/ədˈvɑːntɪdʒ/,优势，有利条件,3,高频|四级|六级,Speaking multiple languages is a great advantage.
adventure,n,/ədˈventʃər/,冒险，奇遇,3,高频|四级|旅行,Their trip was a real adventure.
advertise,v,/ˈædvətaɪz/,广告，宣传,4,高频|六级|商务,The company advertises on social media.
advice,n,/ədˈvaɪs/,建议，忠告,2,高频|四级,Let me give you some advice.
affect,v,/əˈfekt/,影响,4,高频|六级|雅思,Weather affects our mood.
afford,v,/əˈfɔːrd/,买得起，承担得起,3,高频|四级,We can't afford a new car right now.
afraid,adj,/əˈfreɪd/,害怕的,1,高频|高考,I am afraid of heights.
agency,n,/ˈeɪdʒənsi/,代理机构,4,高频|六级|商务,She works at a travel agency.
agenda,n,/əˈdʒendə/,议程,5,高频|六级|雅思|商务,The meeting agenda was sent out yesterday.
agree,v,/əˈɡriː/,同意,1,高频|高考,I agree with your opinion.
ahead,adv,/əˈhed/,在前，向前,2,高频|四级,Go straight ahead for two blocks.
aim,n/v,/eɪm/,目标，旨在,3,高频|四级,Our aim is to provide quality education.
alarm,n,/əˈlɑːrm/,警报,3,高频|四级,The fire alarm went off suddenly.
album,n,/ˈælbəm/,相册、相册、专辑,3,高频|四级,She showed me her photo album.
alcohol,n,/ˈælkəhɒl/,酒精,4,高频|六级,He doesn't drink alcohol.
alike,adv/adj,/əˈlaɪk/,相似的,5,高频|六级,The twins look alike.
allow,v,/əˈlaʊ/,允许,2,高频|四级,Smoking is not allowed here.
almost,adv,/ˈɔːlmoʊst/,几乎,2,高频|四级,I'm almost done with the work.
alone,adj/adv,/əˈloʊn/,单独的,2,高频|四级,She lives alone in a small apartment.
alongside,prep,/əˌlɒŋˈsaɪd/,在旁边,5,高频|六级|雅思,Walk alongside the river to the bridge.
already,adv,/ɔːlˈredi/,已经,1,高频|高考,I've already finished my homework.
also,adv,/ˈɔːlsoʊ/,也,1,高频|高考,She is also a teacher.
alternative,n/adj,/ɔːlˈtɜːrnətɪv/,替代品,4,高频|六级|雅思,We need an alternative plan.
although,conj,/ɔːlˈðoʊ/,虽然、虽然,3,高频,Although it rained  we still went hiking.
amaze,v,/əˈmeɪz/,使惊奇,3,高频|四级,The view amazed everyone.
ambition,n,/æmˈbɪʃn/,雄心，抱负,5,高频|六级|雅思,She has the ambition to become a CEO.
amount,n,/əˈmaʊnt/,数量,3,高频|四级,Large amounts of water were wasted.
amuse,v,/əˈmjuːz/,使发笑,4,高频|六级,His jokes amused the audience.
analyze,v,/ˈænəlaɪz/,分析,4,高频|六级|雅思,Let's analyze the data carefully.
ancient,adj,/ˈeɪnʃənt/,古代的,3,高频|四级,Ancient civilizations built remarkable structures.
announce,v,/əˈnaʊns/,宣布,3,高频|四级|六级,The company announced its new product.
annoy,v,/əˈnɔɪ/,使烦恼,4,高频|六级,His constant questions annoyed me.
annual,adj,/ˈænjuəl/,每年的,4,高频|六级|商务,The annual conference will be held in June.
anxiety,n,/æŋˈzaɪəti/,焦虑,5,高频|六级|雅思,Many students suffer from exam anxiety.
anxious,adj,/ˈæŋkʃəs/,焦虑的,4,高频|六级,She felt anxious before the interview.
anyway,adv,/ˈeniweɪ/,无论如何、无论如何,2,高频,Anyway  let's continue the meeting.
apart,adv,/əˈpɑːrt/,分开地,3,高频|四级,The two houses are 100 meters apart.
apparent,adj,/əˈpærənt/,明显的,5,高频|六级|雅思,It became apparent that he was lying.
appeal,v/n,/əˈpiːl/,呼吁，吸引力,5,高频|六级|雅思,The idea appeals to young people.
appear,v,/əˈpɪər/,出现,2,高频|四级,Stars appear in the night sky.
appetite,n,/ˈæpɪtaɪt/,食欲,4,高频|六级,Exercise gives me a good appetite.
apply,v,/əˈplaɪ/,申请、申请、适用,3,高频|四级,She applied for the job yesterday.
appreciate,v,/əˈpriːʃieɪt/,欣赏，感激,4,高频|六级,We appreciate your help.
approach,n/v,/əˈproʊtʃ/,方法，接近,4,高频|六级|雅思,We need a different approach to the problem.
appropriate,adj,/əˈproʊpriət/,合适的,5,高频|六级|雅思,Wear appropriate clothes for the occasion.
approve,v,/əˈpruːv/,赞成，批准,4,高频|六级,The boss approved the budget.
argue,v,/ˈɑːrɡjuː/,争论,3,高频|四级,They often argue about money.
arise,v,/əˈraɪz/,出现，产生,5,高频|六级|雅思,Problems arose during the project.
arrange,v,/əˈreɪndʒ/,安排,3,高频|四级,She arranged the books on the shelf.
arrest,v,/əˈrest/,逮捕,4,高频|六级,The thief was arrested by the police.
arrival,n,/əˈraɪvəl/,到达,3,高频|四级|旅行,Please confirm your arrival time.
article,n,/ˈɑːrtɪkl/,文章、文章、物品,2,高频|四级,She wrote an article for the magazine.
artificial,adj,/ˌɑːrtɪˈfɪʃl/,人工的,5,高频|六级|雅思,Artificial intelligence is changing our lives.
ashamed,adj,/əˈʃeɪmd/,羞愧的,4,高频|六级,He felt ashamed of his behavior.
aside,adv,/əˈsaɪd/,在旁边,4,高频|六级,She stepped aside to let him pass.
aspect,n,/ˈæspekt/,方面,5,高频|六级|雅思,Consider every aspect of the issue.
assess,v,/əˈses/,评估,5,高频|六级|雅思,Teachers assess students' progress regularly.
assign,v,/əˈsaɪn/,分配、分配、指定,4,高频|六级,The teacher assigned homework to the class.
assist,v,/əˈsɪst/,帮助、帮助、协助,4,高频|六级,She assisted the manager with the report.
associate,v,/əˈsoʊʃieɪt/,联想、联想、联系,5,高频|六级|雅思,I associate summer with the beach.
assume,v,/əˈsuːm/,假设、假设、承担,4,高频|六级|雅思,Don't assume the worst.
assure,v,/əˈʃʊr/,保证,5,高频|六级|雅思,I assure you everything will be fine.
athlete,n,/ˈæθliːt/,运动员,3,高频|四级,The athlete won a gold medal.
atmosphere,n,/ˈætməsfɪər/,大气、大气、气氛,4,高频|六级,The atmosphere in the room was tense.
attach,v,/əˈtætʃ/,附上、附上、连接,4,高频|六级,Please attach the file to the email.
attack,v/n,/əˈtæk/,攻击,3,高频|四级,The dog attacked the stranger.
attempt,v/n,/əˈtempt/,尝试、尝试、企图,4,高频|六级,She made an attempt to climb the mountain.
attend,v,/əˈtend/,出席、出席、参加,3,高频|四级,Over 100 people attended the meeting.
attention,n,/əˈtenʃn/,注意、注意、关注,2,高频|四级,Pay attention to the road signs.
attitude,n,/ˈætɪtjuːd/,态度,4,高频|六级,His attitude toward work is positive.
attorney,n,/əˈtɜːrni/,律师,5,高频|六级|雅思,She hired an attorney for the case.
attract,v,/əˈtrækt/,吸引,3,高频|四级,Flowers attract bees and butterflies.
audience,n,/ˈɔːdiəns/,观众、观众、听众,3,高频|四级,The audience clapped loudly.
author,n,/ˈɔːθər/,作者,3,高频|四级,She is the author of three novels.
authority,n,/ɔːˈθɒrəti/,权威、权威、当局,5,高频|六级|雅思,He is an authority on ancient history.
automatic,adj,/ˌɔːtəˈmætɪk/,自动的,4,高频|六级,The door has an automatic sensor.
available,adj,/əˈveɪləbl/,可获得的、可获得的、有空的,3,高频|四级|六级,This product is available in stores now.
average,adj/n,/ˈævərɪdʒ/,平均的、平均的、平均,3,高频|四级,The average temperature rose by 2 degrees.
avoid,v,/əˈvɔɪd/,避免,3,高频|四级,Try to avoid junk food.
awake,adj,/əˈweɪk/,醒着的,3,高频|四级,He was still awake at midnight.
